code,name_en,sector_33,sector_17
1301,"KYOKUYO CO.,LTD.","Fishery, Agriculture and Forestry",FOODS
130A,Veritas In Silico Inc.,Pharmaceutical,PHARMACEUTICAL
131A,CCN Group Corporation,Information & Communication,"IT & SERVICES, OTHERS"
132A,"IN Holdings Co.,LTD.",Land Transportation,TRANSPORTATION & LOGISTICS
1332,Nissui Corporation,"Fishery, Agriculture and Forestry",FOODS
1333,Maruha Nichiro Corporation,"Fishery, Agriculture and Forestry",FOODS
134A,"UPraise,Inc",Services,"IT & SERVICES, OTHERS"
135A,"VRAIN Solution,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
136A,"Sankosyoji Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1375,"YUKIGUNI FACTORY CO.,LTD.","Fishery, Agriculture and Forestry",FOODS
1376,"KANEKO SEEDS CO.,LTD.","Fishery, Agriculture and Forestry",FOODS
1377,SAKATA SEED CORPORATION,"Fishery, Agriculture and Forestry",FOODS
1379,HOKUTO CORPORATION,"Fishery, Agriculture and Forestry",FOODS
137A,"Cocolive,Inc.",Information & Communication,"IT & SERVICES, OTHERS"
1380,"AKIKAWA FOODS & FARMS CO.,LTD.","Fishery, Agriculture and Forestry",FOODS
1381,"AXYZ CO.,Ltd.","Fishery, Agriculture and Forestry",FOODS
1382,"HOB Co.,Ltd.","Fishery, Agriculture and Forestry",FOODS
1383,"Berg Earth co.,ltd.","Fishery, Agriculture and Forestry",FOODS
1384,"Hokuryo Co.,Ltd.","Fishery, Agriculture and Forestry",FOODS
138A,"Hikari Food Service Co.,Ltd.",Retail Trade,RETAIL TRADE
139A,"Higashinihon Jisho Co.,Ltd.",Real Estate,REAL ESTATE
1401,"mbs,inc.",Construction,CONSTRUCTION & MATERIALS
1407,West Holdings Corporation,Construction,CONSTRUCTION & MATERIALS
1414,"SHO-BOND Holdings Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1417,MIRAIT ONE Corporation,Construction,CONSTRUCTION & MATERIALS
1418,"INTERLIFE HOLDINGS CO.,LTD.",Construction,CONSTRUCTION & MATERIALS
1419,"Tama Home Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
141A,"TRIAL Holdings,Inc.",Retail Trade,RETAIL TRADE
1420,Sanyo Homes Corporation,Construction,CONSTRUCTION & MATERIALS
1429,"Nippon Aqua Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
142A,"JINJIB Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
1430,First-corporation Inc.,Construction,CONSTRUCTION & MATERIALS
1431,"Lib Work Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1432,"DORYOKU Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1433,"BESTERRA CO.,LTD",Construction,CONSTRUCTION & MATERIALS
1434,"JESCO Holdings,Inc.",Construction,CONSTRUCTION & MATERIALS
1435,robot home Inc.,Real Estate,REAL ESTATE
1436,GreenEnergy & Company Inc.,Construction,CONSTRUCTION & MATERIALS
1438,"Gifu landscape architect Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
143A,"Ishin Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
1443,"Giken Holdings Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1444,"Nissou Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1445,"Hikari Holdings Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1446,"CANDEAL Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1447,"SAAF Holdings Co.,Ltd.",Construction,CONSTRUCTION & MATERIALS
144A,"ENERGY POWER CO.,Ltd.",Construction,CONSTRUCTION & MATERIALS
1450,TANAKEN Inc.,Construction,CONSTRUCTION & MATERIALS
1452,"YOKOHAMA WRIGHT Industries Co.,LTD",Construction,CONSTRUCTION & MATERIALS
145A,L is B Corp.,Information & Communication,"IT & SERVICES, OTHERS"
146A,Columbia Works Inc.,Real Estate,REAL ESTATE
147A,"SORACOM,INC.",Information & Communication,"IT & SERVICES, OTHERS"
148A,"HATCH WORK CO.,LTD.",Information & Communication,"IT & SERVICES, OTHERS"
1491,"Chugai Mining Co.,Ltd.",Nonferrous Metals,STEEL & NONFERROUS METALS
149A,"Thinca Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
150A,"JSH Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
1514,"Sumiseki Holdings,Inc.",Mining,ENERGY RESOURCES
1515,"Nittetsu Mining Co.,Ltd.",Mining,ENERGY RESOURCES
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",Other Products,"IT & SERVICES, OTHERS"
151A,Dive Inc.,Services,"IT & SERVICES, OTHERS"
152A,"OPTY CO.,LTD.",Wholesale Trade,COMMERCIAL & WHOLESALE TRADE
153A,Caulis Inc.,Information & Communication,"IT & SERVICES, OTHERS"
154A,GAIA Inc.,Other Financing Business,FINANCIALS (EX BANKS)
155A,"Information Strategy and Technology Co.,Ltd.",Information & Communication,"IT & SERVICES, OTHERS"
156A,Material Group Inc.,Services,"IT & SERVICES, OTHERS"
157A,Green Monster Inc.,Services,"IT & SERVICES, OTHERS"
158A,"Exseli Co,Ltd.",Retail Trade,RETAIL TRADE
1605,INPEX CORPORATION,Mining,ENERGY RESOURCES
160A,"As Partners CO.,LTD.",Services,"IT & SERVICES, OTHERS"
161A,"Mitsuba Co.,Ltd.",Services,"IT & SERVICES, OTHERS"
164A,"Applepark.CO.,LTD.",Real Estate,REAL ESTATE
1662,"Japan Petroleum Exploration Co.,Ltd.",Mining,ENERGY RESOURCES
